brand,model,repair_type,price
Doro,Doro 8040,Skjermbytte - Pris,999kr
Doro,Doro 1362,Skjermbytte - Pris,999kr
Doro,Doro 8035,Skjermbytte - Pris,999kr
Doro,Doro 7070,Skjermbytte - Pris,999kr
Doro,Doro 8030,Skjermbytte - Pris,999kr
Doro,Doro 8040,Batteribytte - Pris,599kr
Doro,Doro 1362,Batteribytte - Pris,599kr
Doro,Doro 8035,Batteribytte - Pris,699kr
Doro,Doro 7070,Batteribytte - Pris,699kr
Doro,Doro 8030,Batteribytte - Pris,799kr
Doro,Doro 8040,Bakside erstatning - Pris,499kr
Doro,Doro 1362,Bakside erstatning - Pris,499kr
Doro,Doro 8035,Bakside erstatning - Pris,499kr
Doro,Doro 7070,Bakside erstatning - Pris,499kr
Doro,Doro 8030,Bakside erstatning - Pris,499kr
