brand,model,repair_type,price
Google,Google pixel,Skjermbytte - Pris,1299kr
Google,Google pixel 2,Skjermbytte - Pris,1499kr
Google,Google pixel 2 XL,Skjermbytte - Pris,1999kr
Google,Google pixel 3,Skjermbytte - Pris,2299kr
Google,Google pixel 3 XL,Skjermbytte - Pris,2599kr
Google,Google pixel 3a,Skjermbytte - Pris,1999kr
Google,Google pixel 4,Skjermbytte - Pris,1999kr
Google,Google pixel 4 XL,Skjermbytte - Pris,2299kr
Google,Google pixel 4a,Skjermbytte - Pris,2099kr
Google,Google pixel 5,Skjermbytte - Pris,3099kr
