brand,model,repair_type,price
HTC,HTC One M9,Skjermbytte - Pris,1999kr
HTC,HTC One M8,Skjermbytte - Pris,1899kr
HTC,HTC One M7,Skjermbytte - Pris,1799kr
HTC,HTC One A9,Skjermbytte - Pris,1999kr
HTC,HTC One,Skjermbytte - Pris,999kr
HTC,HTC 10,Skjermbytte - Pris,1599kr
HTC,HTC U11,Skjermbytte - Pris,1999kr
HTC,HTC U11+,Skjermbytte - Pris,2199kr
HTC,HTC U11 Eyes,Skjermbytte - Pris,2199kr
HTC,HTC Desire 12,Skjermbytte - Pris,2499kr
HTC,HTC Desire,Skjermbytte - Pris,899kr
HTC,HTC One M9,Batteri - Pris,1299kr
HTC,HTC One M8,Batteri - Pris,1299kr
HTC,HTC One M7,Batteri - Pris,1299kr
HTC,HTC One A9,Batteri - Pris,1299kr
HTC,HTC One,Batteri - Pris,999kr
HTC,HTC 10,Batteri - Pris,1099kr
HTC,HTC U11,Batteri - Pris,799kr
HTC,HTC U11+,Batteri - Pris,799kr
HTC,HTC U11 Eyes,Batteri - Pris,799kr
HTC,HTC Desire 12,Batteri - Pris,799kr
HTC,HTC Desire,Batteri - Pris,799kr
