brand,model,repair_type,price
Huawei,Huawei P10 (2017),Skjermbytte - Pris,1299kr
Huawei,Huawei P10 Plus (2017),Skjermbytte - Pris,1899kr
Huawei,Huawei P10 Lite (2017),Skjermbytte - Pris,1099kr
Huawei,Huawei P Smart (2017),Skjermbytte - Pris,999kr
Huawei,Huawei P Smart Pro (2018),Skjermbytte - Pris,1299kr
Huawei,Huawei P20 (2018),Skjermbytte - Pris,1599kr
Huawei,Huawei P20 Pro (2018),Skjermbytte - Pris,2999kr
Huawei,Huawei P20 Lite,Skjermbytte - Pris,1499kr
Huawei,Huawei P Smart +,Skjermbytte - Pris,1599kr
Huawei,Huawei P Smart (2019),Skjermbytte - Pris,1599kr
Huawei,Huawei P Smart Z (2019),Skjermbytte - Pris,1599kr
Huawei,Huawei P30 (2019),Skjermbytte - Pris,1999kr
Huawei,Huawei P30 Pro (2019),Skjermbytte - Pris,2899kr
Huawei,Huawei P30 Lite (2019),Skjermbytte - Pris,1599kr
Huawei,Huawei P Smart (2020),Skjermbytte - Pris,1499kr
Huawei,Huawei P Smart S (2020),Skjermbytte - Pris,1399kr
Huawei,Huawei P40 (2020),Skjermbytte - Pris,2399kr
Huawei,Huawei P40 Lite (2020),Skjermbytte - Pris,1699kr
Huawei,Huawei P40 Lite E (2020),Skjermbytte - Pris,1699kr
Huawei,Huawei P40 Pro (2020),Skjermbytte - Pris,3999kr
Huawei,Huawei P40 Pro+ (2020),Skjermbytte - Pris,4699kr
Huawei,Huawei P40 Lite 5G (2020),Skjermbytte - Pris,1699kr
Huawei,Huawei P40 4G (2021),Skjermbytte - Pris,2399kr
Huawei,Huawei P Smart 2021 (2020),Skjermbytte - Pris,1599kr
Huawei,Huawei Honor 8 (2016)[18],Skjermbytte - Pris,1099kr
Huawei,Huawei Honor 8 Lite (2017),Skjermbytte - Pris,699kr
Huawei,Huawei Honor V8 (2016),Skjermbytte - Pris,1099kr
Huawei,Huawei Honor 8 Pro,Skjermbytte - Pris,1299kr
Huawei,Huawei Honor 9 (2017),Skjermbytte - Pris,899kr
Huawei,Huawei Honor 9 Lite (2017),Skjermbytte - Pris,699kr
Huawei,Huawei Honor 9i,Skjermbytte - Pris,899kr
Huawei,Huawei Honor View 10 (2017),Skjermbytte - Pris,1399kr
Huawei,Huawei Honor View 20 (2018),Skjermbytte - Pris,1499kr
Huawei,Huawei Honor View 30 (2019),Skjermbytte - Pris,899kr
Huawei,Huawei Honor View 30 Pro (2019),Skjermbytte - Pris,1099kr
Huawei,Huawei Honor 10 (2018),Skjermbytte - Pris,1399kr
Huawei,Huawei Honor 10 GT (2018),Skjermbytte - Pris,1399kr
Huawei,Huawei Honor 10 Lite (2018),Skjermbytte - Pris,7990kr
Huawei,Huawei Honor 20 (2019),Skjermbytte - Pris,1499kr
Huawei,Huawei Honor 20 Pro (2019),Skjermbytte - Pris,1599kr
Huawei,Huawei Honor 20 Lite (2019),Skjermbytte - Pris,1199kr
Huawei,Huawei Honor 30 (2020),Skjermbytte - Pris,1099kr
Huawei,Huawei Honor 30 Pro (2020),Skjermbytte - Pris,2599kr
Huawei,Huawei Honor 30 Pro+ (2020),Skjermbytte - Pris,2899kr
Huawei,Huawei Honor 30S (2020),Skjermbytte - Pris,1399kr
Huawei,Huawei Honor 30 Lite (2020),Skjermbytte - Pris,999kr
Huawei,Huawei Honor 30i (2020),Skjermbytte - Pris,999kr
Huawei,Huawei Honor Play (2018),Skjermbytte - Pris,1499kr
Huawei,Huawei Honor Play 3 (2019),Skjermbytte - Pris,999kr
Huawei,Huawei Honor Play 3e (2019),Skjermbytte - Pris,899kr
Huawei,Huawei Honor Play 4 (2020),Skjermbytte - Pris,1099kr
Huawei,Huawei Honor Play 4 Pro (2020),Skjermbytte - Pris,1599kr
Huawei,Huawei Honor Play 4T (2020),Skjermbytte - Pris,899kr
Huawei,Huawei Honor Play 4T Pro (2020),Skjermbytte - Pris,1099kr
Huawei,Huawei Honor Note 10 (2018),Skjermbytte - Pris,2099kr
Huawei,Huawei Honor 8X (2018),Skjermbytte - Pris,999kr
Huawei,Huawei Honor 8X Max (2018),Skjermbytte - Pris,1399kr
Huawei,Huawei Honor 8C (2018),Skjermbytte - Pris,899kr
Huawei,Huawei Honor Magic (2016),Skjermbytte - Pris,1399kr
Huawei,Huawei Honor Magic 2 (2018),Skjermbytte - Pris,2499kr
Huawei,Huawei Honor 8A (2019),Skjermbytte - Pris,899kr
Huawei,Huawei Honor X10 (2020),Skjermbytte - Pris,1899kr
Huawei,Huawei Honor X10 Max (2020),Skjermbytte - Pris,1099kr
Huawei,Huawei Honor 10X Lite (2020),Skjermbytte - Pris,899kr
Huawei,Huawei Honor V40 (2021),Skjermbytte - Pris,2499kr
Huawei,Huawei Mate 8 (2015),Skjermbytte - Pris,899kr
Huawei,Huawei Mate 9 (2016),Skjermbytte - Pris,999kr
Huawei,Huawei Mate 9 Lite,Skjermbytte - Pris,799kr
Huawei,Huawei Mate 9 Pro (2016),Skjermbytte - Pris,1599kr
Huawei,Huawei Porsche Design Mate 9,Skjermbytte - Pris,1699kr
Huawei,Huawei Mate 10 (2017),Skjermbytte - Pris,1799kr
Huawei,Huawei Mate 10 Pro (2017),Skjermbytte - Pris,2399kr
Huawei,Huawei Mate 10 Lite,Skjermbytte - Pris,999kr
Huawei,Huawei Mate 20 (2018),Skjermbytte - Pris,2199kr
Huawei,Huawei Mate 20 Pro (2018),Skjermbytte - Pris,2999kr
Huawei,Huawei Mate 20 Lite (2018),Skjermbytte - Pris,1299kr
Huawei,Huawei Mate 20 X (2018),Skjermbytte - Pris,3799kr
Huawei,Huawei Mate 20 Porsche RS (2018),Skjermbytte - Pris,2199kr
Huawei,Huawei Mate X (2019),Skjermbytte - Pris,1799kr
Huawei,Huawei Mate 30 (2019),Skjermbytte - Pris,3399kr
Huawei,Huawei Mate 30 Pro (2019),Skjermbytte - Pris,4399kr
Huawei,Huawei Mate 30 (5G) (2019),Skjermbytte - Pris,4399kr
Huawei,Huawei Mate 30 Pro (5G) (2019),Skjermbytte - Pris,4399kr
Huawei,Huawei Nova 5T,Skjermbytte - Pris,1999kr
Huawei,Huawei Nova 3,Skjermbytte - Pris,1099kr
Huawei,Huawei P9 (2016),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P9 (2016),Andre tjenester - Batteri,499kr
Huawei,Huawei P9 Lite (Huawei G9) (2016),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P9 Lite (Huawei G9) (2016),Andre tjenester - Batteri,499kr
Huawei,Huawei P9 Lite Mini (2017),Andre tjenester - Bakglass Lense,499kr
Huawei,Huawei P9 Lite Mini (2017),Andre tjenester - Batteri,399kr
Huawei,Huawei P9 Plus (2016),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P9 Plus (2016),Andre tjenester - Batteri,499kr
Huawei,Huawei P10 (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P10 (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei P10 Plus (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P10 Plus (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei P Smart (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei P Smart Pro (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart Pro (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei P20 (2018),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P20 (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei P20 Pro (2018),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P20 Pro (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei P20 Lite,Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P20 Lite,Andre tjenester - Batteri,499kr
Huawei,Huawei P Smart +,Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart +,Andre tjenester - Batteri,499kr
Huawei,Huawei P Smart (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei P Smart Z (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart Z (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei P30 (2019),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P30 (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei P30 Pro (2019),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P30 Pro (2019),Andre tjenester - Batteri,799kr
Huawei,Huawei P30 Lite (2019),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P30 Lite (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei P30 New Edition (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P30 New Edition (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei P30 Lite New Edition (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P30 Lite New Edition (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei P Smart (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei P Smart S (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart S (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei P40 (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P40 (2020),Andre tjenester - Batteri,899kr
Huawei,Huawei P40 Lite (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P40 Lite (2020),Andre tjenester - Batteri,599kr
Huawei,Huawei P40 Lite E (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P40 Lite E (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei P40 Pro (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P40 Pro (2020),Andre tjenester - Batteri,999kr
Huawei,Huawei P40 Pro+ (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P40 Pro+ (2020),Andre tjenester - Batteri,999kr
Huawei,Huawei P40 Lite 5G (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P40 Lite 5G (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei P40 4G (2021),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei P40 4G (2021),Andre tjenester - Batteri,899kr
Huawei,Huawei P Smart 2021 (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei P Smart 2021 (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 8 (2016)[18],Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 8 (2016)[18],Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 8 Lite (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 8 Lite (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor V8 (2016),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor V8 (2016),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 8 Pro,Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 8 Pro,Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 9 (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 9 (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 9 Lite (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 9 Lite (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 9i,Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 9i,Andre tjenester - Batteri,499kr
Huawei,Huawei Honor View 10 (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor View 10 (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor View 20 (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor View 20 (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor View 30 (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor View 30 (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor View 30 Pro (2019),Andre tjenester - Bakglass Lense,799kr
Huawei,Huawei Honor View 30 Pro (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 10 (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 10 (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 10 GT (2018),Andre tjenester - Bakglass Lense,699kr
