brand,model,repair_type,price
LG,LG G7,Skjermbytte - Pris,1699kr
LG,LG V30,Skjermbytte - Pris,1599kr
LG,LG Q6,Skjermbytte - Pris,1699kr
LG,LG Stylus 3,Skjermbytte - Pris,1499kr
LG,LG G6,Skjermbytte - Pris,1699kr
LG,LG K8 2017,Skjermbytte - Pris,1499kr
LG,LG K10 2017,Skjermbytte - Pris,1999kr
LG,LG K4 2017,Skjermbytte - Pris,1399kr
LG,LG G5 SE,Skjermbytte - Pris,1399kr
LG,LG X power,Skjermbytte - Pris,1199kr
LG,LG X Cam1299,Skjermbytte - Pris,1099kr
LG,LG X Screen,Skjermbytte - Pris,1999kr
LG,LG Stylus 2,Skjermbytte - Pris,1499kr
LG,LG G5,Skjermbytte - Pris,1599kr
LG,LG L4,Skjermbytte - Pris,1499kr
LG,LG K3,Skjermbytte - Pris,1499kr
LG,LG Nexus 5X,Skjermbytte - Pris,1399kr
LG,LG G2,Skjermbytte - Pris,1299kr
LG,LG G3,Skjermbytte - Pris,1399kr
LG,LG SPIRIT 4G,Skjermbytte - Pris,1499kr
LG,LG G4,Skjermbytte - Pris,1499kr
LG,LG G4c,Skjermbytte - Pris,1499kr
LG,LG Leon 4G,Skjermbytte - Pris,1499kr
LG,LG Joy,Skjermbytte - Pris,1399kr
LG,LG G Flex 2,Skjermbytte - Pris,1099kr
LG,LG G3 S,Skjermbytte - Pris,999kr
LG,LG L90 (D405),Skjermbytte - Pris,1899kr
LG,LG L70 (D320),Skjermbytte - Pris,1199kr
LG,LG Sporty,Skjermbytte - Pris,1099kr
LG,LG G7,Batteri - Pris,499kr
LG,LG V30,Batteri - Pris,499kr
LG,LG Q6,Batteri - Pris,499kr
LG,LG Stylus 3,Batteri - Pris,499kr
LG,LG G6,Batteri - Pris,499kr
LG,LG K8 2017,Batteri - Pris,499kr
LG,LG K10 2017,Batteri - Pris,499kr
LG,LG K4 2017,Batteri - Pris,499kr
LG,LG G5 SE,Batteri - Pris,499kr
LG,LG X power,Batteri - Pris,499kr
LG,LG X Cam1299,Batteri - Pris,499kr
LG,LG X Screen,Batteri - Pris,499kr
LG,LG Stylus 2,Batteri - Pris,499kr
LG,LG G5,Batteri - Pris,499kr
LG,LG L4,Batteri - Pris,499kr
LG,LG K3,Batteri - Pris,499kr
LG,LG Nexus 5X,Batteri - Pris,499kr
LG,LG G2,Batteri - Pris,499kr
LG,LG G3,Batteri - Pris,499kr
LG,LG SPIRIT 4G,Batteri - Pris,499kr
LG,LG G4,Batteri - Pris,499kr
LG,LG G4c,Batteri - Pris,499kr
LG,LG Leon 4G,Batteri - Pris,499kr
LG,LG Joy,Batteri - Pris,499kr
LG,LG G Flex 2,Batteri - Pris,499kr
LG,LG G3 S,Batteri - Pris,499kr
LG,LG L90 (D405),Batteri - Pris,499kr
LG,LG L70 (D320),Batteri - Pris,499kr
LG,LG Sporty,Batteri - Pris,499kr
