brand,model,repair_type,price
Motorola,Motorola Moto G4,Skjermbytte - Pris,1299kr
Motorola,Motorola Moto G5,Skjermbytte - Pris,1799kr
Motorola,Motorola Moto G6,Skjermbytte - Pris,1999kr
Motorola,Motorola Moto G7/G7 Plus,Skjermbytte - Pris,1399kr
Motorola,Motorola Moto G7 Play,Skjermbytte - Pris,1299kr
Motorola,Motorola Moto G7 Power,Skjermbytte - Pris,1499kr
Motorola,Motorola Moto G8,Skjermbytte - Pris,1499kr
Motorola,Motorola Moto X Play,Skjermbytte - Pris,1399kr
Motorola,Motorola Moto X Style,Skjermbytte - Pris,1099kr
Motorola,Motorola Moto Z,Skjermbytte - Pris,1199kr
Motorola,Motorola Moto Z Play,Skjermbytte - Pris,1099kr
Motorola,Motorola Moto Z2 Play,Skjermbytte - Pris,1299kr
Motorola,Motorola Moto Z3/Z3 Play,Skjermbytte - Pris,1399kr
Motorola,Motorola Moto OneVision,Skjermbytte - Pris,1399kr
Motorola,Motorola Moto Z2 Force,Skjermbytte - Pris,2499kr
