brand,model,repair_type,price
Nokia,Nokia Lumia 505,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 510,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 520,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 525,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 530,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 610,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 620,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 625,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 630,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 635,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 636,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 638,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 710,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 720,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 730,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 735,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 800,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 810,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 822,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 820,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 830,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 900,Skjermbytte - Pris,999kr
Nokia,Nokia Lumia 920,Skjermbytte - Pris,1299kr
Nokia,Nokia Lumia 925,Skjermbytte - Pris,1299kr
Nokia,Nokia Lumia 928,Skjermbytte - Pris,1299kr
Nokia,Nokia Lumia 930,Skjermbytte - Pris,1299kr
Nokia,Nokia 7+,Skjermbytte - Pris,1799kr
Nokia,"Nokia 3,2",Skjermbytte - Pris,1299kr
