brand,model,repair_type,price
Sony,Sony Xperia 5,Skjermbytte - Pris,3999kr
Sony,Sony Xperia X,Skjermbytte - Pris,1399kr
Sony,Sony Xperia XA,Skjermbytte - Pris,1599kr
Sony,Sony Xperia E5,Skjermbytte - Pris,1399kr
Sony,Sony Xperia XZ,Skjermbytte - Pris,1799kr
Sony,Sony Xperia X compact,Skjermbytte - Pris,1599kr
Sony,Sony Xperia XZ Premium,Skjermbytte - Pris,1799kr
Sony,Sony Xperia XA1,Skjermbytte - Pris,1799kr
Sony,Sony Xperia XA2,Skjermbytte - Pris,1999kr
Sony,Sony Xperia XA1 Ultra,Skjermbytte - Pris,1199kr
Sony,Sony Xperia XZ1,Skjermbytte - Pris,1799kr
Sony,Sony Xperia XZ1 Compact,Skjermbytte - Pris,1799kr
Sony,Sony Xperia XZ2,Skjermbytte - Pris,1799kr
Sony,Sony Xperia XZ2 Compact,Skjermbytte - Pris,1799kr
Sony,Sony Xperia M5,Skjermbytte - Pris,1399kr
Sony,Sony Xperia M4,Skjermbytte - Pris,1299kr
Sony,Sony Xperia Z5,Skjermbytte - Pris,1299kr
Sony,Sony Xperia Z5 compact,Skjermbytte - Pris,1299kr
Sony,Sony Xperia Z5 Premium,Skjermbytte - Pris,1799kr
Sony,Sony Xperia Z4,Skjermbytte - Pris,1499kr
Sony,Sony Xperia Z3+,Skjermbytte - Pris,1399kr
Sony,Sony Xperia Z3,Skjermbytte - Pris,1399kr
Sony,Sony Xperia Z3 compact,Skjermbytte - Pris,1399kr
Sony,Sony Xperia Z2,Skjermbytte - Pris,1199kr
Sony,Sony Xperia Z1,Skjermbytte - Pris,1199kr
Sony,Sony Xperia Z1 compact,Skjermbytte - Pris,999kr
Sony,Sony Xperia Z,Skjermbytte - Pris,899kr
Sony,Sony Xperia Z Ultra,Skjermbytte - Pris,1499kr
Sony,Sony Xperia ZR,Skjermbytte - Pris,999kr
Sony,Sony Xperia L2,Skjermbytte - Pris,1299kr
Sony,Sony Xperia XZ2 Compact,Skjermbytte - Pris,1199kr
Sony,Sony Xperia XZ2,Skjermbytte - Pris,1699kr
Sony,Sony Xperia XZ3,Skjermbytte - Pris,1899kr
Sony,Sony L1,Skjermbytte - Pris,799kr
Sony,Sony 10,Skjermbytte - Pris,1399kr
Sony,Sony 10 II,Skjermbytte - Pris,1599kr
Sony,Sony 10 Plus,Skjermbytte - Pris,1499kr
Sony,Sony L4,Skjermbytte - Pris,1299kr
Sony,Sony Xperia 5,Batteribytte - Pris,799kr
Sony,Sony Xperia X,Batteribytte - Pris,799kr
Sony,Sony Xperia XA,Batteribytte - Pris,799kr
Sony,Sony Xperia E5,Batteribytte - Pris,799kr
